,region,code,full_indicator_name,year,value
2521,Latin America & Caribbean,NY.ADJ.NNTY.KD,Adjusted net national income (constant 2010 US$),1977,1780964791467.66
2522,Latin America & Caribbean,SL.EMP.MPYR.FE.ZS,"Employers, female (% of female employment) (modeled ILO estimate)",1977,
2523,Latin America & Caribbean,SE.XPD.PRIM.ZS,Expenditure on primary education (% of government expenditure on education),1977,
2524,Latin America & Caribbean,SG.LAW.NODC.HR,Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no),1977,
2525,Latin America & Caribbean,SE.ADT.LITR.FE.ZS,"Literacy rate, adult female (% of females ages 15 and above)",1977,77.02017
2526,Latin America & Caribbean,SP.POP.TOTL.FE.ZS,"Population, female (% of total)",1977,50.1438454985649
2527,Latin America & Caribbean,SL.TLF.CACT.FM.NE.ZS,Ratio of female to male labor force participation rate (%) (national estimate),1977,
2528,Latin America & Caribbean,SP.MTR.1519.ZS,Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),1977,
2529,Latin America & Caribbean,SG.DMK.SRCR.FN.ZS,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49)",1977,
2530,Latin America & Caribbean,SP.M18.2024.FE.ZS,Women who were first married by age 18 (% of women ages 20-24),1977,
2531,Latin America & Caribbean,SH.DYN.AIDS.FE.ZS,Women's share of population ages 15+ living with HIV (%),1977,
2532,Middle East & North Africa,PA.NUS.PPP.05,"2005 PPP conversion factor, GDP (LCU per international $)",1977,
2533,Middle East & North Africa,NY.ADJ.NNTY.KD,Adjusted net national income (constant 2010 US$),1977,
2534,Middle East & North Africa,SL.EMP.MPYR.FE.ZS,"Employers, female (% of female employment) (modeled ILO estimate)",1977,
2535,Middle East & North Africa,SE.XPD.PRIM.ZS,Expenditure on primary education (% of government expenditure on education),1977,35.5944213867188
2536,Middle East & North Africa,SG.LAW.NODC.HR,Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no),1977,
2537,Middle East & North Africa,SE.ADT.LITR.FE.ZS,"Literacy rate, adult female (% of females ages 15 and above)",1977,30.573940000000004
2538,Middle East & North Africa,SP.POP.TOTL.FE.ZS,"Population, female (% of total)",1977,49.150981969757005
2539,Middle East & North Africa,SL.TLF.CACT.FM.NE.ZS,Ratio of female to male labor force participation rate (%) (national estimate),1977,
2540,Middle East & North Africa,SP.MTR.1519.ZS,Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),1977,
2541,Middle East & North Africa,SG.DMK.SRCR.FN.ZS,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49)",1977,
2542,Middle East & North Africa,SP.M18.2024.FE.ZS,Women who were first married by age 18 (% of women ages 20-24),1977,
2543,Middle East & North Africa,SH.DYN.AIDS.FE.ZS,Women's share of population ages 15+ living with HIV (%),1977,
2544,North America,PA.NUS.PPP.05,"2005 PPP conversion factor, GDP (LCU per international $)",1977,
2545,North America,NY.ADJ.NNTY.KD,Adjusted net national income (constant 2010 US$),1977,5640473994229.45
2546,North America,SL.EMP.MPYR.FE.ZS,"Employers, female (% of female employment) (modeled ILO estimate)",1977,
2547,North America,SE.XPD.PRIM.ZS,Expenditure on primary education (% of government expenditure on education),1977,
2548,North America,SG.LAW.NODC.HR,Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no),1977,
2549,North America,SE.ADT.LITR.FE.ZS,"Literacy rate, adult female (% of females ages 15 and above)",1977,
2550,North America,SP.POP.TOTL.FE.ZS,"Population, female (% of total)",1977,50.806759448342895
2551,North America,SL.TLF.CACT.FM.NE.ZS,Ratio of female to male labor force participation rate (%) (national estimate),1977,
2552,North America,SP.MTR.1519.ZS,Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),1977,
2553,North America,SG.DMK.SRCR.FN.ZS,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49)",1977,
2554,North America,SP.M18.2024.FE.ZS,Women who were first married by age 18 (% of women ages 20-24),1977,
2555,North America,SH.DYN.AIDS.FE.ZS,Women's share of population ages 15+ living with HIV (%),1977,
2556,Pacific island small states,PA.NUS.PPP.05,"2005 PPP conversion factor, GDP (LCU per international $)",1977,
2557,Pacific island small states,NY.ADJ.NNTY.KD,Adjusted net national income (constant 2010 US$),1977,
2558,Pacific island small states,SL.EMP.MPYR.FE.ZS,"Employers, female (% of female employment) (modeled ILO estimate)",1977,
2559,Pacific island small states,SE.XPD.PRIM.ZS,Expenditure on primary education (% of government expenditure on education),1977,
2560,Pacific island small states,SG.LAW.NODC.HR,Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no),1977,
2561,Pacific island small states,SE.ADT.LITR.FE.ZS,"Literacy rate, adult female (% of females ages 15 and above)",1977,
2562,Pacific island small states,SP.POP.TOTL.FE.ZS,"Population, female (% of total)",1977,48.9739271945187
2563,Pacific island small states,SL.TLF.CACT.FM.NE.ZS,Ratio of female to male labor force participation rate (%) (national estimate),1977,
2564,Pacific island small states,SP.MTR.1519.ZS,Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),1977,
2565,Pacific island small states,SG.DMK.SRCR.FN.ZS,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49)",1977,
2566,Pacific island small states,SP.M18.2024.FE.ZS,Women who were first married by age 18 (% of women ages 20-24),1977,
2567,Pacific island small states,SH.DYN.AIDS.FE.ZS,Women's share of population ages 15+ living with HIV (%),1977,
2568,South Asia,PA.NUS.PPP.05,"2005 PPP conversion factor, GDP (LCU per international $)",1977,
2569,South Asia,NY.ADJ.NNTY.KD,Adjusted net national income (constant 2010 US$),1977,304372446539.043
2570,South Asia,SL.EMP.MPYR.FE.ZS,"Employers, female (% of female employment) (modeled ILO estimate)",1977,
2571,South Asia,SE.XPD.PRIM.ZS,Expenditure on primary education (% of government expenditure on education),1977,
2572,South Asia,SG.LAW.NODC.HR,Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no),1977,
2573,South Asia,SE.ADT.LITR.FE.ZS,"Literacy rate, adult female (% of females ages 15 and above)",1977,22.12109
2574,South Asia,SP.POP.TOTL.FE.ZS,"Population, female (% of total)",1977,48.2612395614575
2575,South Asia,SL.TLF.CACT.FM.NE.ZS,Ratio of female to male labor force participation rate (%) (national estimate),1977,
2576,South Asia,SP.MTR.1519.ZS,Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),1977,
2577,South Asia,SG.DMK.SRCR.FN.ZS,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49)",1977,
2578,South Asia,SP.M18.2024.FE.ZS,Women who were first married by age 18 (% of women ages 20-24),1977,
2579,South Asia,SH.DYN.AIDS.FE.ZS,Women's share of population ages 15+ living with HIV (%),1977,
2580,Sub-Saharan Africa,PA.NUS.PPP.05,"2005 PPP conversion factor, GDP (LCU per international $)",1977,
2581,Sub-Saharan Africa,NY.ADJ.NNTY.KD,Adjusted net national income (constant 2010 US$),1977,
2582,Sub-Saharan Africa,SL.EMP.MPYR.FE.ZS,"Employers, female (% of female employment) (modeled ILO estimate)",1977,
2583,Sub-Saharan Africa,SE.XPD.PRIM.ZS,Expenditure on primary education (% of government expenditure on education),1977,
2584,Sub-Saharan Africa,SG.LAW.NODC.HR,Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no),1977,
2585,Sub-Saharan Africa,SE.ADT.LITR.FE.ZS,"Literacy rate, adult female (% of females ages 15 and above)",1977,
2586,Sub-Saharan Africa,SP.POP.TOTL.FE.ZS,"Population, female (% of total)",1977,50.300855924082796
2587,Sub-Saharan Africa,SL.TLF.CACT.FM.NE.ZS,Ratio of female to male labor force participation rate (%) (national estimate),1977,
2588,Sub-Saharan Africa,SP.MTR.1519.ZS,Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),1977,
2589,Sub-Saharan Africa,SG.DMK.SRCR.FN.ZS,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49)",1977,
2590,Sub-Saharan Africa,SP.M18.2024.FE.ZS,Women who were first married by age 18 (% of women ages 20-24),1977,
2591,Sub-Saharan Africa,SH.DYN.AIDS.FE.ZS,Women's share of population ages 15+ living with HIV (%),1977,
2592,Arab World,PA.NUS.PPP.05,"2005 PPP conversion factor, GDP (LCU per international $)",1978,
2593,Arab World,NY.ADJ.NNTY.KD,Adjusted net national income (constant 2010 US$),1978,
2594,Arab World,SL.EMP.MPYR.FE.ZS,"Employers, female (% of female employment) (modeled ILO estimate)",1978,
2595,Arab World,SE.XPD.PRIM.ZS,Expenditure on primary education (% of government expenditure on education),1978,
2596,Arab World,SG.LAW.NODC.HR,Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no),1978,
2597,Arab World,SE.ADT.LITR.FE.ZS,"Literacy rate, adult female (% of females ages 15 and above)",1978,31.01895
2598,Arab World,SP.POP.TOTL.FE.ZS,"Population, female (% of total)",1978,49.3103244305271
2599,Arab World,SL.TLF.CACT.FM.NE.ZS,Ratio of female to male labor force participation rate (%) (national estimate),1978,
2600,Arab World,SP.MTR.1519.ZS,Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),1978,
2601,Arab World,SG.DMK.SRCR.FN.ZS,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49)",1978,
2602,Arab World,SP.M18.2024.FE.ZS,Women who were first married by age 18 (% of women ages 20-24),1978,
2603,Arab World,SH.DYN.AIDS.FE.ZS,Women's share of population ages 15+ living with HIV (%),1978,
2604,Caribbean small states,PA.NUS.PPP.05,"2005 PPP conversion factor, GDP (LCU per international $)",1978,
2605,Caribbean small states,NY.ADJ.NNTY.KD,Adjusted net national income (constant 2010 US$),1978,
2606,Caribbean small states,SL.EMP.MPYR.FE.ZS,"Employers, female (% of female employment) (modeled ILO estimate)",1978,
2607,Caribbean small states,SE.XPD.PRIM.ZS,Expenditure on primary education (% of government expenditure on education),1978,
2608,Caribbean small states,SG.LAW.NODC.HR,Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no),1978,
2609,Caribbean small states,SE.ADT.LITR.FE.ZS,"Literacy rate, adult female (% of females ages 15 and above)",1978,
2610,Caribbean small states,SP.POP.TOTL.FE.ZS,"Population, female (% of total)",1978,50.549064668388205
2611,Caribbean small states,SL.TLF.CACT.FM.NE.ZS,Ratio of female to male labor force participation rate (%) (national estimate),1978,
2612,Caribbean small states,SP.MTR.1519.ZS,Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),1978,
2613,Caribbean small states,SG.DMK.SRCR.FN.ZS,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49)",1978,
2614,Caribbean small states,SP.M18.2024.FE.ZS,Women who were first married by age 18 (% of women ages 20-24),1978,
2615,Caribbean small states,SH.DYN.AIDS.FE.ZS,Women's share of population ages 15+ living with HIV (%),1978,
2616,East Asia & Pacific,PA.NUS.PPP.05,"2005 PPP conversion factor, GDP (LCU per international $)",1978,
2617,East Asia & Pacific,NY.ADJ.NNTY.KD,Adjusted net national income (constant 2010 US$),1978,
2618,East Asia & Pacific,SL.EMP.MPYR.FE.ZS,"Employers, female (% of female employment) (modeled ILO estimate)",1978,
2619,East Asia & Pacific,SE.XPD.PRIM.ZS,Expenditure on primary education (% of government expenditure on education),1978,
2620,East Asia & Pacific,SG.LAW.NODC.HR,Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no),1978,
2621,East Asia & Pacific,SE.ADT.LITR.FE.ZS,"Literacy rate, adult female (% of females ages 15 and above)",1978,58.4676
2622,East Asia & Pacific,SP.POP.TOTL.FE.ZS,"Population, female (% of total)",1978,49.24729262419889
2623,East Asia & Pacific,SL.TLF.CACT.FM.NE.ZS,Ratio of female to male labor force participation rate (%) (national estimate),1978,
2624,East Asia & Pacific,SP.MTR.1519.ZS,Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),1978,
2625,East Asia & Pacific,SG.DMK.SRCR.FN.ZS,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49)",1978,
2626,East Asia & Pacific,SP.M18.2024.FE.ZS,Women who were first married by age 18 (% of women ages 20-24),1978,
2627,East Asia & Pacific,SH.DYN.AIDS.FE.ZS,Women's share of population ages 15+ living with HIV (%),1978,
2628,Euro area,PA.NUS.PPP.05,"2005 PPP conversion factor, GDP (LCU per international $)",1978,
2629,Euro area,NY.ADJ.NNTY.KD,Adjusted net national income (constant 2010 US$),1978,5756810795337.09
2630,Euro area,SL.EMP.MPYR.FE.ZS,"Employers, female (% of female employment) (modeled ILO estimate)",1978,
2631,Euro area,SE.XPD.PRIM.ZS,Expenditure on primary education (% of government expenditure on education),1978,32.6941003799438
2632,Euro area,SG.LAW.NODC.HR,Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no),1978,
2633,Euro area,SE.ADT.LITR.FE.ZS,"Literacy rate, adult female (% of females ages 15 and above)",1978,
2634,Euro area,SP.POP.TOTL.FE.ZS,"Population, female (% of total)",1978,51.4538026116708
2635,Euro area,SL.TLF.CACT.FM.NE.ZS,Ratio of female to male labor force participation rate (%) (national estimate),1978,
2636,Euro area,SP.MTR.1519.ZS,Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),1978,
2637,Euro area,SG.DMK.SRCR.FN.ZS,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49)",1978,
2638,Euro area,SP.M18.2024.FE.ZS,Women who were first married by age 18 (% of women ages 20-24),1978,
2639,Euro area,SH.DYN.AIDS.FE.ZS,Women's share of population ages 15+ living with HIV (%),1978,
2640,Europe & Central Asia,PA.NUS.PPP.05,"2005 PPP conversion factor, GDP (LCU per international $)",1978,
2641,Europe & Central Asia,NY.ADJ.NNTY.KD,Adjusted net national income (constant 2010 US$),1978,8848203375878.37
2642,Europe & Central Asia,SL.EMP.MPYR.FE.ZS,"Employers, female (% of female employment) (modeled ILO estimate)",1978,
2643,Europe & Central Asia,SE.XPD.PRIM.ZS,Expenditure on primary education (% of government expenditure on education),1978,
2644,Europe & Central Asia,SG.LAW.NODC.HR,Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no),1978,
2645,Europe & Central Asia,SE.ADT.LITR.FE.ZS,"Literacy rate, adult female (% of females ages 15 and above)",1978,
2646,Europe & Central Asia,SP.POP.TOTL.FE.ZS,"Population, female (% of total)",1978,51.9395549797984
2647,Europe & Central Asia,SL.TLF.CACT.FM.NE.ZS,Ratio of female to male labor force participation rate (%) (national estimate),1978,
2648,Europe & Central Asia,SP.MTR.1519.ZS,Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),1978,
2649,Europe & Central Asia,SG.DMK.SRCR.FN.ZS,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49)",1978,
2650,Europe & Central Asia,SP.M18.2024.FE.ZS,Women who were first married by age 18 (% of women ages 20-24),1978,
2651,Europe & Central Asia,SH.DYN.AIDS.FE.ZS,Women's share of population ages 15+ living with HIV (%),1978,
2652,European Union,PA.NUS.PPP.05,"2005 PPP conversion factor, GDP (LCU per international $)",1978,
2653,European Union,NY.ADJ.NNTY.KD,Adjusted net national income (constant 2010 US$),1978,7520335563565.03
2654,European Union,SL.EMP.MPYR.FE.ZS,"Employers, female (% of female employment) (modeled ILO estimate)",1978,
2655,European Union,SE.XPD.PRIM.ZS,Expenditure on primary education (% of government expenditure on education),1978,
2656,European Union,SG.LAW.NODC.HR,Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no),1978,
2657,European Union,SE.ADT.LITR.FE.ZS,"Literacy rate, adult female (% of females ages 15 and above)",1978,
2658,European Union,SP.POP.TOTL.FE.ZS,"Population, female (% of total)",1978,51.34720050836
2659,European Union,SL.TLF.CACT.FM.NE.ZS,Ratio of female to male labor force participation rate (%) (national estimate),1978,
2660,European Union,SP.MTR.1519.ZS,Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),1978,
2661,European Union,SG.DMK.SRCR.FN.ZS,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49)",1978,
2662,European Union,SP.M18.2024.FE.ZS,Women who were first married by age 18 (% of women ages 20-24),1978,
2663,European Union,SH.DYN.AIDS.FE.ZS,Women's share of population ages 15+ living with HIV (%),1978,
2664,Latin America & Caribbean,PA.NUS.PPP.05,"2005 PPP conversion factor, GDP (LCU per international $)",1978,
2665,Latin America & Caribbean,NY.ADJ.NNTY.KD,Adjusted net national income (constant 2010 US$),1978,1822312273853.78
2666,Latin America & Caribbean,SL.EMP.MPYR.FE.ZS,"Employers, female (% of female employment) (modeled ILO estimate)",1978,
2667,Latin America & Caribbean,SE.XPD.PRIM.ZS,Expenditure on primary education (% of government expenditure on education),1978,
2668,Latin America & Caribbean,SG.LAW.NODC.HR,Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no),1978,
2669,Latin America & Caribbean,SE.ADT.LITR.FE.ZS,"Literacy rate, adult female (% of females ages 15 and above)",1978,77.56758
2670,Latin America & Caribbean,SP.POP.TOTL.FE.ZS,"Population, female (% of total)",1978,50.15973656918779
2671,Latin America & Caribbean,SL.TLF.CACT.FM.NE.ZS,Ratio of female to male labor force participation rate (%) (national estimate),1978,
2672,Latin America & Caribbean,SP.MTR.1519.ZS,Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),1978,
2673,Latin America & Caribbean,SG.DMK.SRCR.FN.ZS,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49)",1978,
2674,Latin America & Caribbean,SP.M18.2024.FE.ZS,Women who were first married by age 18 (% of women ages 20-24),1978,
2675,Latin America & Caribbean,SH.DYN.AIDS.FE.ZS,Women's share of population ages 15+ living with HIV (%),1978,
2676,Middle East & North Africa,PA.NUS.PPP.05,"2005 PPP conversion factor, GDP (LCU per international $)",1978,
2677,Middle East & North Africa,NY.ADJ.NNTY.KD,Adjusted net national income (constant 2010 US$),1978,
2678,Middle East & North Africa,SL.EMP.MPYR.FE.ZS,"Employers, female (% of female employment) (modeled ILO estimate)",1978,
2679,Middle East & North Africa,SE.XPD.PRIM.ZS,Expenditure on primary education (% of government expenditure on education),1978,
2680,Middle East & North Africa,SG.LAW.NODC.HR,Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no),1978,
2681,Middle East & North Africa,SE.ADT.LITR.FE.ZS,"Literacy rate, adult female (% of females ages 15 and above)",1978,31.296540000000004
2682,Middle East & North Africa,SP.POP.TOTL.FE.ZS,"Population, female (% of total)",1978,49.097089497207
2683,Middle East & North Africa,SL.TLF.CACT.FM.NE.ZS,Ratio of female to male labor force participation rate (%) (national estimate),1978,
2684,Middle East & North Africa,SP.MTR.1519.ZS,Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),1978,
2685,Middle East & North Africa,SG.DMK.SRCR.FN.ZS,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49)",1978,
2686,Middle East & North Africa,SP.M18.2024.FE.ZS,Women who were first married by age 18 (% of women ages 20-24),1978,
2687,Middle East & North Africa,SH.DYN.AIDS.FE.ZS,Women's share of population ages 15+ living with HIV (%),1978,
2688,North America,PA.NUS.PPP.05,"2005 PPP conversion factor, GDP (LCU per international $)",1978,
2689,North America,NY.ADJ.NNTY.KD,Adjusted net national income (constant 2010 US$),1978,5944678809475.62
2690,North America,SL.EMP.MPYR.FE.ZS,"Employers, female (% of female employment) (modeled ILO estimate)",1978,
2691,North America,SE.XPD.PRIM.ZS,Expenditure on primary education (% of government expenditure on education),1978,
2692,North America,SG.LAW.NODC.HR,Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no),1978,
2693,North America,SE.ADT.LITR.FE.ZS,"Literacy rate, adult female (% of females ages 15 and above)",1978,
2694,North America,SP.POP.TOTL.FE.ZS,"Population, female (% of total)",1978,50.844277765259505
2695,North America,SL.TLF.CACT.FM.NE.ZS,Ratio of female to male labor force participation rate (%) (national estimate),1978,
2696,North America,SP.MTR.1519.ZS,Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),1978,
2697,North America,SG.DMK.SRCR.FN.ZS,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49)",1978,
2698,North America,SP.M18.2024.FE.ZS,Women who were first married by age 18 (% of women ages 20-24),1978,
2699,North America,SH.DYN.AIDS.FE.ZS,Women's share of population ages 15+ living with HIV (%),1978,
2700,Pacific island small states,PA.NUS.PPP.05,"2005 PPP conversion factor, GDP (LCU per international $)",1978,
2701,Pacific island small states,NY.ADJ.NNTY.KD,Adjusted net national income (constant 2010 US$),1978,
2702,Pacific island small states,SL.EMP.MPYR.FE.ZS,"Employers, female (% of female employment) (modeled ILO estimate)",1978,
2703,Pacific island small states,SE.XPD.PRIM.ZS,Expenditure on primary education (% of government expenditure on education),1978,
2704,Pacific island small states,SG.LAW.NODC.HR,Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no),1978,
2705,Pacific island small states,SE.ADT.LITR.FE.ZS,"Literacy rate, adult female (% of females ages 15 and above)",1978,
2706,Pacific island small states,SP.POP.TOTL.FE.ZS,"Population, female (% of total)",1978,48.9713187681312
2707,Pacific island small states,SL.TLF.CACT.FM.NE.ZS,Ratio of female to male labor force participation rate (%) (national estimate),1978,
2708,Pacific island small states,SP.MTR.1519.ZS,Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),1978,
2709,Pacific island small states,SG.DMK.SRCR.FN.ZS,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49)",1978,
2710,Pacific island small states,SP.M18.2024.FE.ZS,Women who were first married by age 18 (% of women ages 20-24),1978,
2711,Pacific island small states,SH.DYN.AIDS.FE.ZS,Women's share of population ages 15+ living with HIV (%),1978,
2712,South Asia,PA.NUS.PPP.05,"2005 PPP conversion factor, GDP (LCU per international $)",1978,
2713,South Asia,NY.ADJ.NNTY.KD,Adjusted net national income (constant 2010 US$),1978,322465845571.81604
2714,South Asia,SL.EMP.MPYR.FE.ZS,"Employers, female (% of female employment) (modeled ILO estimate)",1978,
2715,South Asia,SE.XPD.PRIM.ZS,Expenditure on primary education (% of government expenditure on education),1978,
2716,South Asia,SG.LAW.NODC.HR,Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no),1978,
2717,South Asia,SE.ADT.LITR.FE.ZS,"Literacy rate, adult female (% of females ages 15 and above)",1978,22.869410000000002
2718,South Asia,SP.POP.TOTL.FE.ZS,"Population, female (% of total)",1978,48.2724310510287
2719,South Asia,SL.TLF.CACT.FM.NE.ZS,Ratio of female to male labor force participation rate (%) (national estimate),1978,
2720,South Asia,SP.MTR.1519.ZS,Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),1978,
2721,South Asia,SG.DMK.SRCR.FN.ZS,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49)",1978,
2722,South Asia,SP.M18.2024.FE.ZS,Women who were first married by age 18 (% of women ages 20-24),1978,
2723,South Asia,SH.DYN.AIDS.FE.ZS,Women's share of population ages 15+ living with HIV (%),1978,
2724,Sub-Saharan Africa,PA.NUS.PPP.05,"2005 PPP conversion factor, GDP (LCU per international $)",1978,
2725,Sub-Saharan Africa,NY.ADJ.NNTY.KD,Adjusted net national income (constant 2010 US$),1978,
2726,Sub-Saharan Africa,SL.EMP.MPYR.FE.ZS,"Employers, female (% of female employment) (modeled ILO estimate)",1978,
2727,Sub-Saharan Africa,SE.XPD.PRIM.ZS,Expenditure on primary education (% of government expenditure on education),1978,
2728,Sub-Saharan Africa,SG.LAW.NODC.HR,Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no),1978,
2729,Sub-Saharan Africa,SE.ADT.LITR.FE.ZS,"Literacy rate, adult female (% of females ages 15 and above)",1978,
2730,Sub-Saharan Africa,SP.POP.TOTL.FE.ZS,"Population, female (% of total)",1978,50.2855056066366
2731,Sub-Saharan Africa,SL.TLF.CACT.FM.NE.ZS,Ratio of female to male labor force participation rate (%) (national estimate),1978,
2732,Sub-Saharan Africa,SP.MTR.1519.ZS,Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),1978,
2733,Sub-Saharan Africa,SG.DMK.SRCR.FN.ZS,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49)",1978,
2734,Sub-Saharan Africa,SP.M18.2024.FE.ZS,Women who were first married by age 18 (% of women ages 20-24),1978,
2735,Sub-Saharan Africa,SH.DYN.AIDS.FE.ZS,Women's share of population ages 15+ living with HIV (%),1978,
2736,Arab World,PA.NUS.PPP.05,"2005 PPP conversion factor, GDP (LCU per international $)",1979,
2737,Arab World,NY.ADJ.NNTY.KD,Adjusted net national income (constant 2010 US$),1979,
2738,Arab World,SL.EMP.MPYR.FE.ZS,"Employers, female (% of female employment) (modeled ILO estimate)",1979,
2739,Arab World,SE.XPD.PRIM.ZS,Expenditure on primary education (% of government expenditure on education),1979,
2740,Arab World,SG.LAW.NODC.HR,Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no),1979,
2741,Arab World,SE.ADT.LITR.FE.ZS,"Literacy rate, adult female (% of females ages 15 and above)",1979,31.57827
2742,Arab World,SP.POP.TOTL.FE.ZS,"Population, female (% of total)",1979,49.257456418980595
2743,Arab World,SL.TLF.CACT.FM.NE.ZS,Ratio of female to male labor force participation rate (%) (national estimate),1979,
2744,Arab World,SP.MTR.1519.ZS,Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),1979,
2745,Arab World,SG.DMK.SRCR.FN.ZS,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49)",1979,
2746,Arab World,SP.M18.2024.FE.ZS,Women who were first married by age 18 (% of women ages 20-24),1979,
2747,Arab World,SH.DYN.AIDS.FE.ZS,Women's share of population ages 15+ living with HIV (%),1979,
2748,Caribbean small states,PA.NUS.PPP.05,"2005 PPP conversion factor, GDP (LCU per international $)",1979,
2749,Caribbean small states,NY.ADJ.NNTY.KD,Adjusted net national income (constant 2010 US$),1979,
2750,Caribbean small states,SL.EMP.MPYR.FE.ZS,"Employers, female (% of female employment) (modeled ILO estimate)",1979,
2751,Caribbean small states,SE.XPD.PRIM.ZS,Expenditure on primary education (% of government expenditure on education),1979,
2752,Caribbean small states,SG.LAW.NODC.HR,Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no),1979,
2753,Caribbean small states,SE.ADT.LITR.FE.ZS,"Literacy rate, adult female (% of females ages 15 and above)",1979,
2754,Caribbean small states,SP.POP.TOTL.FE.ZS,"Population, female (% of total)",1979,50.4882115259675
2755,Caribbean small states,SL.TLF.CACT.FM.NE.ZS,Ratio of female to male labor force participation rate (%) (national estimate),1979,
2756,Caribbean small states,SP.MTR.1519.ZS,Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),1979,
2757,Caribbean small states,SG.DMK.SRCR.FN.ZS,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49)",1979,
2758,Caribbean small states,SP.M18.2024.FE.ZS,Women who were first married by age 18 (% of women ages 20-24),1979,
2759,Caribbean small states,SH.DYN.AIDS.FE.ZS,Women's share of population ages 15+ living with HIV (%),1979,
2760,East Asia & Pacific,PA.NUS.PPP.05,"2005 PPP conversion factor, GDP (LCU per international $)",1979,
2761,East Asia & Pacific,NY.ADJ.NNTY.KD,Adjusted net national income (constant 2010 US$),1979,
2762,East Asia & Pacific,SL.EMP.MPYR.FE.ZS,"Employers, female (% of female employment) (modeled ILO estimate)",1979,
2763,East Asia & Pacific,SE.XPD.PRIM.ZS,Expenditure on primary education (% of government expenditure on education),1979,
2764,East Asia & Pacific,SG.LAW.NODC.HR,Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no),1979,
